// select object_Id,value from weenie_properties_string where `type`=1 order by object_Id;
753,Brimstone
754,Cadmia
755,Cinnabar
756,Cobalt
757,Colcothar
758,Gypsum
759,Quicksilver
760,Realgar
761,Stibnite
762,Turpeth
763,Verdigris
764,Vitriol
765,Amaranth
766,Bistort
767,Comfrey
768,Damiana
769,Dragonsblood
770,Eyebright
771,Frankincense
772,Hawthorn
773,Henbane
774,Hyssop
775,Mandrake
776,Mugwort
777,Myrrh
778,Saffron
779,Vervain
780,Wormwood
781,Yarrow
782,Powdered Agate
783,Powdered Amber
784,Powdered Azurite
785,Powdered Bloodstone
786,Powdered Carnelian
787,Powdered Lapis Lazuli
788,Powdered Malachite
789,Powdered Moonstone
790,Powdered Onyx
791,Powdered Quartz
792,Powdered Turquoise
793,Scalemail Coif
794,Apple Generator
795,Archmage Yuzai Zhen
796,Te Kenten the Barkeep
797,Yu-Mihou the Barkeep
798,Shui Tentou the Bowyer
799,Grocer Riku Ryu
800,Healer Tonsho Ha
801,Jeweler Liman Pon
802,Xi Hau-Lai the Weaponsmith
803,Jade Sepent
804,Ten Ox House
805,Zhen's Tower
806,Food and Clothing
807,Tonsho's Remedies
808,Bowyer Tentou
809,Master Sonji Pan, Archmage
810,Barkeep Bai Yao Feng
812,Wah Fo-Za the Armorer
813,Nu Sha the Weaponsmith
814,Ribusha Sennei the Bowyer
815,Grocer Nan-Yu-Yenbuto
816,Healer Kai Tonweh
817,Jeweler Ryuhan Wu
818,Jeweler Xao Wu
819,Kai Go-Sou the Scribe
820,Shin Ou-Ye the Shopkeep
821,Zan Wa-Shabu the Tailor
822,Yusuq ibn Qa'la the Tailor
823,Smith Wah
824,Sennei's Bows
825,The Brimful Jar
826,The Sisters Kai
827,Opal House
828,The Shining Amethyst
829,Shin's Provisions
830,Apparel
831,Archmage Chen Wah-Ji
832,Nin Hong the Barkeeper
834,Jaikite Sanzen the Barkeeper
835,Ven Ounan the Blacksmith
836,Zhofon No the Bowyer
837,Hau Ji Tan the Grocer
838,Yaohan Tong the Healer
839,Ai Konaji the Jeweler
840,Brother Gonun the Scribe
841,Brother Wan the Scribe
842,Shopkeeper Gonjoku Ryumi
843,Tailor Ma Shih
844,Gonjoku's Goods
845,Metalworker
846,Bowyer Zhofon
847,Grocery
848,Black Swan Inn
849,Konaji's Jewels
850,Three Swords Hall
851,Brush and Stone
852,Spire of Serenity
853,Tailor Ma
854,Altar of Bael'Zharon
855,Altar of Asheron
856,Archmage Shikiru Nohon
857,Archmage Anyao Zai
858,Rayyib al-Afij the Armorer
859,Barkeeper Fo Ya-Un
860,Barkeeper Chon Nuo
861,Lunsong Lun the Barkeep
862,Lai Konsho the Armorsmith
863,Ban Jyi Shen the Weaponsmith
864,Yatenyu Zhuong the Bowyer
865,Goro Yu-Ban the Provisioner
866,Kento Do the Grocer
867,Kouxao Ei the Healer
868,Muozhen Wa the Jeweler
869,Fenza Tan the Scribe
870,Tailor Chueh Jian
871,Aldera Brunall Weaponsmith
872,Rayyib's Defense
873,Red Iron Forge
874,Healer Kouxao
875,Moonstone House
876,The Shining Shield
877,The Golden Book
878,Weaver Chueh
879,The Laughing Kirin
880,West Wind Tower
881,Aldera's Blades
882,Armorer 
883,Bronze Armoredillo Generator
884,Sandy Armoredillo Generator
885,Spikey Armoredillo Generator
886,Spiny Armoredillo Generator
887,Auroch Cow Generator
888,Auroch Yearling Generator
889,Banderling Generator
890,Banderling Raver Generator
891,Brown Cow Generator
892,Drudge Prowler Generator
893,Drudge Skulker Generator
894,Lugian Lithos Generator
895,Lugian Obeloth Generator
896,Mite Matron Generator
897,Mite Squib Generator
898,Mosswart Chief Generator
899,Mosswart Mudlurk Generator
900,Olthoi Noble Generator
901,Olthoi Nymph Generator
902,Olthoi Soldier Generator
903,Blue Phyntos Wasp Generator
904,Green Phyntos Wasp Generator
905,Black Rat Generator
906,White Rat Generator
907,Reedshark Pup Generator
908,Reedshark Veteran Generator
909,Female Tusker Generator
910,Male Tusker Goldenback Generator
911,Lich Generator
912,Revenant Generator
913,Glenden Wood
914,Glenden Wood: 3 miles
915,Glenden Wood: 2 miles
916,Glenden Wood 1 mile 
917,Hebian-to
918,Hebian-to: 3 miles
919,Hebian-to: 2 miles
920,Hebian-to: 1 mile
921,Holtburg
922,Holtburg: 3 miles
923,Holtburg: 2 miles
924,Holtburg: 1 mile
925,Mayoi
926,Mayoi: 3 miles
927,Mayoi: 2 miles
928,Mayoi: 1 mile
929,Shoushi
930,Shoushi: 1 mile
931,Shoushi: 2 miles
932,Shoushi: 3 miles
933,Yanshi
934,Yanshi: 1 mile
935,Yanshi: 2 miles
936,Yanshi: 3 miles
937,Banderling Guard
938,Banderling Raider
939,Young Banderling
940,Drudge Sneaker
941,Water Golem
942,Wood Golem
943,Mite Scion
944,Mite Digger
945,Mite Sentry
946,Mite Squire
947,Barker Mosswart
948,Mosswart Feeder
949,Red Rat
950,Zombie
951,Banderling Guard Generator
952,Banderling Raider Generator
953,Young Banderling Generator
954,Drudge Sneaker Generator
955,Water Golem Generator
956,Wood Golem Generator
957,Mite Scion Generator
958,Mite Digger Generator
959,Mite Sentry Generator
960,Mite Squire Generator
961,Mosswart Barker Generator
962,Mosswart Feeder Generator
963,Brown Rat Generator
964,Red Rat Generator
965,Zombie Generator
966,Grawalda the Peddler
967,Arina of the Arms
968,Henrid the Grocer
969,Healer Lithinia of Chiran
970,Gailadu the Scribe
971,Grethoric of all Trades
972,Shunju Shinjin the Weaponsmith
973,Mishiya al-Abdi the Barkeeper
975,Armorer Talam ibn Tarish
976,Weaponsmith Ayiz ibn Khayt
977,Thawasa al-La'ud the Bowyer
978,Ushad al-Fasam the Grocer
979,Healer Burah bint Fathlan
980,Jeweler Fathlan ibn Nuril
981,Sutaiya bint Yil the Scribe
982,Shopkeep Julsama bint Sakim
983,Nasruya al-Khanjan the Tailor
984,Archmage Asaina al-Arqis
985,Barkeeper Ghazi al-Barbasin
986,Filida bint Ghazi the Barkeep
987,Qufana al-Khurti the Blacksmith
988,Maftaltub al-Sur the Bowyer
989,Zubid ibn Ifi the Grocer
990,Healer Hisuf ibn Shudir
991,Djusufa bint Huqis the Jeweler
992,Jizal al-Nurla the Scribe
993,Shopkeep Yudi ibn Zayrim
994,Muda bint Qalakh the Tailor
995,Samsur: 1 mile
996,Samsur: 2 miles
997,Samsur: 3 miles
998,Bellows' Breath
999,Bow and Goods
1000,Town Bazaar
1001,Samsur: 1/2 mile
1002,House of Fathlan
1003,The Golden Vine
1004,Zaikhal: 1 mile
1005,Zaikhal: 2 miles
1006,Zaikhal: 3 miles
1007,Qufana's Forge
1008,Loom and Oven
1009,Zaikhal: 1/2 mile
1010,House of Lore
1011,Djusufa's Stones
1012,The Open Book
1013,Portal to Arwic
1014,Destroyed Portal to Cragstone
1015,Cragstone Portal
1016,Eastham Portal
1017,Glenden Wood Portal
1018,Destroyed Portal to Hebian-To
1019,Hebian-to Portal
1020,Destroyed Portal to Holtburg
1022,Mayoi Portal
1023,Qalaba'r Portal
1024,Qalaba'r Portal
1025,Portal to Rithwic
1026,Portal to Samsur
1027,Destroyed Portal to Shoushi
1029,Portal to Yanshi
1030,Destroyed Portal to Yaraq
1032,Portal to Zaikhal
1033,Zaikhal Portal
1034,Barkeep Jubal al-Baljad
1036,Item Dagger Generator
1037,Item Sword Generator
1038,Buray ibn Tamsa the Blacksmith
1039,Ladim al-Faji the Bowyer
1040,Nuya bint Mulud the Grocer
1041,Mulud al-Iyar the Healer
1042,Tariqana bint Hin the Jeweler
1043,Item Bow Generator
1044,Wasifa al-Kani the Scribe
1045,Rahira bint Hisan the Shopkeeper
1046,Item Scarab Generator
1047,Arlad ibn Mulud the Tailor
1048,Jumzik al-Budim the Archmage
1049,Tamara bint Atwab the Armorer
1050,Iquba al-Julmud the Barkeeper
1051,Bakhada bint Bar the Barkeeper
1052,Miya bint Atwab the Bowyer
1053,Gharuya al-Dhul the Grocer
1054,Healer Windotha Sofyld
1055,Kuyalal al-A'ma the Jeweler
1056,Uthab ibn Yafij the Scribe
1057,Suntar al-Tashqat the Shopkeep
1058,Fazlim ibn Masay the Tailor
1059,Almina bint Atwab the Weaponsmith
1060,Qalabar: 1 mile
1061,Qalabar 2: miles
1062,Qalabar: 3 miles
1063,Tamara's Armory
1064,Food and Clothing
1065,House of Scrolls
1066,The Moonstoone Tome
1067,The Four Shields
1068,Yaraq: 1 mile
1069,Yaraq: 2 miles
1070,Yaraq: 3 miles
1071,The Eagle's Blade
1072,The Open Book
1073,Nuya's Necessities
1074,Djusufa's Stones
1075,Yaraq Market
1076,The Cerulean Cove
1077,Welcome Letter
1078,Rushiya bint Anruq
1079,Shihinden Ran
1080,Ji Tenxien the Tailor
1081,Soldona Wotmad the Jeweler
1082,Erludd the Cur the Barkeeper
1084,Tenxien's Garments
1085,Adornments
1086,Skull and Flagons
1087,Outside Accursed Halls Portal
1088,Arwic Mines Portal
1089,Surface
1090,Surface
1091,Surface
1092,Surface
1093,Surface
1094,Surface
1095,Surface
1096,Surface
1097,Surface
1098,Surface
1099,Underground City Portal
1100,Surface
1101,Surface
1102,Bandit Castle Portal
1103,Eotensfang Portal
1104,North Direlands Portal
1105,River Bridge Portal
1106,River Bridge Portal
1107,South Direlands Portal
1108,Zaikhal
1109,Samsur
1110,Yaraq
1111,Qalaba'r
1112,Isle of Tears Portal
1113,Cragstone Portal
1114,Simple Lockbox
1115,Book Shelf
1116,Old Talisman Dungeon Portal
1117,Dungeon of Shadows Portal
1118,Black Death Catacombs Portal
1119,Accursed Halls Portal
1120,Crypt of Ashen Tears
1121,Mite Maze Portal
1122,Trothyr's Rest
1123,Dungeon Manor Portal
1124,Shoushi Grotto Portal
1125,Holtburg Dungeon
1126,Yaraq Tunnels Portal
1127,ReedShark Lair Portal
1128,Surface Portal
1129,Item Scarab Generator
1130,Item Talisman Generator
1131,Item Herb Generator
1132,Item Powder Generator
1133,Item Alchemical Generator
1134,Item Book Generator
1135,Glenden Wood Bulletin Board
1136,Hebian-to Bulletin Board
1137,Holtburg Bulletin Board
1138,Mayoi Bulletin Board
1139,Qalaba'r Bulletin Board
1140,Samsur Bulletin Board
1141,Shoushi Bulletin Board
1142,Yanshi Bulletin Board
1143,Yaraq Bulletin Board
1144,Zaikhal Bulletin Board
1145,Tailor Ka Shen-Ku
1146,Fen Hau-Lai the Armorer
1147,Jhen-Ma Shih the Shopkeep
1148,Door
1149,Allegiance
1151,Baiden Benshu the Appraiser
1152,Luqud al-Jaman the Jeweler
1153,Cabbage Circle Generator
1154,Linkable Monster Generator
1155,Bronze Armoredillo Generator
1156,Armoredillo Generator
1157,Sandy Armoredillo Generator
1158,Spikey Armoredillo Generator
1159,Spiny Armoredillo Generator
1160,Auroch Generator
1161,Auroch Cow Generator
1162,Auroch Yearling Generator
1163,Banderling Generator
1164,Banderling Guard Generator
1165,Banderling Raider Generator
1166,Banderling Raver Generator
1167,Banderling Generator
1168,Young Banderling Generator
1169,Brown Cow Generator
1170,Cow Generator
1171,Drudge Prowler Generator
1172,Drudge Skulker Generator
1173,Drudge Generator
1174,Drudge Sneaker Generator
1175,Mite Digger Generator
1176,Mite Matron Generator
1177,Mite Generator
1178,Mite Scion Generator
1179,Mite Sentry Generator
1180,Mite Squib Generator
1181,Mite Squire Generator
1182,Mosswart Barker Generator
1183,Mosswart Chief Generator
1184,Mosswart Generator
1185,Mosswart Feeder Generator
1186,Mosswart Mudlurk Generator
1187,Olthoi Noble Generator
1188,Olthoi Nymph Generator
1189,Olthoi Soldier Generator
1190,Olthoi Generator
1191,Blue Phyntos Wasp Generator
1192,Green Phyntos Wasp Generator
1193,Phyntos Wasp Generator
1194,Black Rat Generator
1195,Brown Rat Generator
1196,Rat Generator
1197,Red Rat Generator
1198,White Rat Generator
1199,Reedshark Generator
1200,Reedshark Pup Generator
1201,Reedshark Veteran Generator
1202,Female Tusker Generator
1203,Male Tusker Goldenback Generator
1204,Tusker Generator
1205,Virindi Generator
1206,Zombie Generator
1207,Lich Generator
1208,Revenant Generator
1209,Undead Generator
1210,Mercenary
1211,Corpse of Gertarh
1212,Old Sign
1213,Tattered Sign
1214,Dusty Sign
1215,Chest
1216,Broken Sign
1217,Corpse
1218,Thief
1219,Thieves' Den
1220,Dungeon Manor Directions
1221,Holtburg Dungeon Directions
1222,Holtburg Portal Directions
1223,Rithwic Portal Directions
1224,Samsur Portal Directions
1225,Shoushi Grotto Directions
1226,Shoushi Portal Directions
1227,Yanshi Portal Directions
1228,Yaraq Portal Directions
1229,Yaraq Tunnels Directions
1230,Sliding Door
1231,Sliding Door
1232,Sliding Door
1233,Sliding Door
1234,Sliding Door
1235,Sliding Door
1236,Sliding Door
1237,Chest
1238,Chest
1239,Chest
1240,Oversized Banderling Ogre
1241,Banderling Bloodblade
1242,Drudge Hoarder
1243,Large Silver Rat
1244,Door
1245,Door
1246,Door
1247,Key
1248,Key
1249,Key
1250,Key
1251,Chest
1252,Chest
1253,Chest
1254,Chest
1255,Drudge Slave Keyholder
1256,Braggart Mosswart
1257,Mosswart Overchief
1258,Ravenous Mosswart
1259,Mosswart Keeper
1260,Door
1261,Door
1262,Door
1263,Key
1264,Key
1265,Key
1266,Key
1267,Key
1268,Key
1269,Bandit Castle Prison Sign
1270,Bandit Shield
1271,Large Chest
1272,Chest
1273,Giant White Rat
1274,Door
1275,Door
1276,Door
1277,Silver Key
1278,Key
1279,Key
1280,Key
1282,Door
1283,Door
1284,Door
1285,Door
1286,Door
1287,Door
1288,Door
1289,Door
1290,Door
1291,Door
1292,Door
1293,Door
1294,Door
1295,Door
1296,Door
1297,Door
1298,Door
1299,Door
1300,Door
1301,Door
1302,Door
1303,Chest
1304,Chest
1305,Chest
1306,Bandit Castle Prison
1307,Glenden Wood Dungeon
1308,Surface
1309,Green Mire Grave
1310,Surface
1311,North Glenden Prison
1312,Surface
1313,Metal Round Shield
1314,Book Shelf
1315,Chest
1316,Chest
1317,Chest
1318,Door
1319,Key
1320,Gold Key
1321,Matted Drudge Ravener
1322,Drudge Stalker Pack Rat
1323,Eastham Sewer
1324,Surface Portal
