// select class_Id, class_Name from weenie order by class_Id;
405,peddler-aluvian
409,vendor-gharundim
410,vendor-sho
411,jeweler-gharundim
412,door-aluvian-house
413,bracerschainmail
414,breastplatechainmail
415,girthchainmail
416,pauldronschainmail
417,itemaluvian-generator
418,itemcheese-generator
419,itemclothing-generator
420,itemfood-generator
421,itemgharundim-generator
422,itemshield-generator
423,itemtreasure-generator
425,itemsho-generator
426,portalsyliphtowertop
427,portalsyliphtowertopexit
428,portalsylsfeardungeon
429,portalsylsfeardungeonexit
430,portalbaseofsyliph
431,portalalphusnorth
432,portalsouthzabool
433,portalbaseofalphus
434,portalalphusvalley
435,portalgemmnorth
436,portalbelligsouth
437,portaldaltnorth
438,portalgemmsouth
439,portalsyliphnorth
440,portaldaltsouth
441,portalbaseofsyliphb
442,portalsyliphplain
443,portal27
457,signpost
458,cowlleather
459,sign-arwic1mile
460,sign-arwic2miles
461,sign-arwic3miles
462,sign-arwichalfmile
463,sign-arwic
464,sign-cragstone1mile
465,sign-cragstone2miles
466,sign-cragstone3miles
467,sign-cragstone4miles
468,sign_cragstone
469,sign-crossroadsarwiceastham
470,sign-crossroadscragstonerithwic
471,sign-eastham1mile
472,sign-eastham2miles
473,sign-eastham3miles
474,sign-easthamhalfmile
475,sign-eastham
476,sign-olthoislairfaded
477,sign-rithwic1mile
478,sign-rithwic2miles
479,sign-rithwic3miles
480,sign-rithwic4miles
481,sign-rithwichalfmile
482,sign-rithwic
483,sign-undergroundcityblessed
484,sign-undergroundcityeastham
485,sign-undergroundcityisland
486,sign-undergroundcitystreambed
487,sign-arwicbulletinboard
488,sign-cragstonebulletinboard
489,sign-easthambulletinboard
490,sign-rithwicbulletinboard
491,sign-talismandungeonriddle
492,sign-banditcastleriddlepage
493,sign-arwiclifestone
494,sign-arwiccowfence
495,sign-arwicshoptavern
496,sign-arwicshopmirinda
497,sign-arwicshopscribe
498,sign-arwicshoptailor
499,sign-arwicshopfletcher
500,sign-arwicshopblacksmith
501,sign-arwicshopblacksmith2
502,sign-arwicshopgrocer
504,sign-arwictutorial1
505,sign-arwictutorial2
506,sign-arwictutorial3
507,sign-arwictutorial4
508,sign-arwictutorial5
509,lifestone
510,lockpickflimsy
511,lockpickcrude
512,lockpickgood
513,lockpickplain
514,lockpickexcell
515,lockpicksuperb
516,lockpickpeer
517,newbieaxehand
518,newbiebowshort
519,newbiebudiaq
520,newbieclub
521,newbiecrossbow
522,newbiedart
523,newbiejambiya
524,newbiejitte
525,newbiejo
526,newbiekasrullah
527,newbieknife
528,newbienabut
529,newbiequarterstaff
530,newbieshouono
531,newbieshouyumi
532,newbieshuriken
533,newbiesimi
534,newbiespear
535,newbieswordshort
536,newbietungi
537,newbieyag
538,newbieyaoji
539,newbieyari
540,lugianaxe
541,lugianclub
542,lugianhammer
543,lugianmace
544,lugianmorningstar
545,lockpickreliable
546,egg
547,mushroom
548,rice
549,stew
550,baigha
551,basinetleather
552,basinetscalemail
553,mushroomcirclegen
554,basinetstuddedleather
555,door2
556,door3
557,door4
558,door5
559,door6
560,door7
561,door8
562,door9
563,door10
564,lockeddoor1
565,lockeddoor2
566,lockeddoor3
567,lockeddoor4
568,doorprison
569,doorprison2
570,doorprison3
571,doorprison4
572,doorprison5
573,doorprison6
574,doorprison7
575,doorprison8
576,doorprison9
577,doorprison10
578,doorprison11
579,doorprison12
580,doorprison13
581,doorprison14
582,doorprison15
583,dooraluvianhouse2
584,dooraluvianhouse3
585,dooraluvianhouse4
586,dooraluvianhouse5
587,lockedaluviandoor1
588,lockedaluviandoor2
589,prisonkey1
590,prisonkey2
591,prisonkey3
592,prisonkey4
593,prisonkey5
594,prisonkey6
595,prisonkey7
596,prisonkey8
597,masterkey
598,aluviankey1
599,aluviankey2
600,dungeonkey1
601,dungeonkey2
602,dungeonkey3
603,dungeonkey4
604,chestkey1
605,chestkey2
606,chestkey3
607,chestkey4
608,chestkey5
609,chestkey6
610,chestkey7
611,chest1poor
612,chest2fair
613,chest3good
614,chest4intricate
615,chest5excellent
616,chest6brilliant
617,chest7impregnable
618,cowbrown
619,zombierevenant
620,cake
621,braceletheavy
622,necklace
623,necklaceheavy
624,ringjeweled
625,ginseng
626,hematite
627,aldertalisman
628,healingkitcrude
629,healingkitplain
630,healingkitgood
631,healingkitexcellent
632,healingkitpeerless
633,tailorsign
634,fletchersign
635,healersign
636,grocersign
637,blacksmithsign
638,bowyersign
639,easthamchirurgeonsign
640,easthamlapidarysign
641,easthamprovisionersign
642,easthamtavernsign
643,easthamfoodbookssign
644,rithwicblacksmithsign
645,rithwicgildedtomesign
646,rithwicroyalfirkinsign
647,rithwicweaponsmithsign
648,easthambarkeeper
649,easthamblacksmith
650,easthamblacksmith2
651,easthambowyer
652,easthamgrocer
653,easthamhealer
654,easthamscribe
655,easthamjeweler
656,easthamshopkeep
657,easthambarkeep2
658,easthamtailor
659,rithwicbarkeeper
661,rithwicblacksmith
662,rithwicbowyer
663,rithwicgrocer
664,rithwichealer
665,rithwicjeweler
666,rithwicscribe
667,rithwictailor
668,rithwicweaponsmith
669,cragstonebarkeeper
670,cragstonebarkeeper2
671,cragstonebowyer
672,cragstonegrocer
673,cragstonehealer
674,cragstonejeweler
675,cragstonescribe
676,cragstoneshopkeep
677,cragstoneweaponsmith
678,cragstonearmorer
679,cragstoneblacksmithsign
680,cragstonebowyersign
681,cragstonehildarhousesign
682,cragstonejewelersign
683,cragstoneledinessign
684,cragstonemagussign
685,cragstonepubsign
686,scarabcopper
687,scarabgold
688,scarabsilver
689,scarabiron
690,scarabpyreal
691,scarablead
692,arwicarchmage
693,arwicbarkeeper
694,arwicbarkeeper2
695,arwicblacksmith
696,arwicgrocer
697,arwichealer
698,arwicjeweler
699,arwichealersign
700,arwicjewelersign
701,arwicscribe
702,arwicshopkeep
703,arwictailor
704,holtburgbowyersign
705,holtburggrocersign
706,holtburghealersign
707,holtburgjewelersign
708,holtburgpubsign
709,holtburgtailorsign
710,holtburgbarkeeper
712,holtburgblacksmith
713,holtburgbowyer
714,holtburggrocer
715,holtburghealer
716,holtburgjeweler
717,holtburgscribe
718,holtburgshopkeep
719,holtburgtailor
720,doorshoslide
721,doorsholeft
722,doorshoright
723,cowlstuddedleather
724,glendenblacksmithsign
725,glendenbowyersign
726,glendengrocersign
727,glendenhealersign
728,glendenpubsign
729,glendenshopsign
730,glendenarmorer
731,glendenbarkeeper
732,glendenbarkeeper2
733,glendenbowyer
734,glendengrocer
735,glendenhealer
736,glendenjeweler
737,glendenshopkeep
738,glendentailor
739,glendenweaponsmith
740,ashwoodtalisman
741,birchtalisman
742,blackthorntalisman
743,cedartalisman
744,ebonytalisman
745,eldertalisman
746,hazeltalisman
747,hemlocktalisman
748,oaktalisman
749,poplartalisman
750,rowantalisman
751,willowtalisman
752,yewtalisman
753,alchembrimstone
754,alchemcadmia
755,alchemcinnabar
756,alchemcobalt
757,alchemcolcothar
758,alchemgypsum
759,alchemquicksilver
760,alchemrealgar
761,alchemstibnite
762,alchemturpeth
763,alchemverdigris
764,alchemvitriol
765,amaranth
766,bistort
767,comfrey
768,damiana
769,dragonsblood
770,eyebright
771,frankincense
772,hawthorn
773,henbane
774,hyssop
775,mandrake
776,mugwort
777,myrrh
778,saffron
779,vervain
780,wormwood
781,yarrow
782,agate
783,amber
784,azurite
785,bloodstone
786,carnelian
787,lapislazul
788,malachite
789,moonstone
790,onyx
791,quartz
792,turquoise
793,coifscale
794,applegenerator
795,mayoiarchmage
796,mayoibarkeeper
797,mayoibarkeeper2
798,mayoibowyer
799,mayoigrocer
800,mayoihealer
801,mayoijeweler
802,mayoiweaponsmith
803,mayoijewelersign
804,mayoipubsign
805,mayoiscribesign
806,mayoigrocersign
807,mayoihealersign
808,mayoibowyersign
809,yanshiarchmage
810,yanshibarkeeper
812,yanshiblacksmith
813,yanshiblacksmith2
814,yanshibowyer
815,yanshigrocer
816,yanshihealer
817,yanshijeweler
818,yanshijeweler2
819,yanshiscribe
820,yanshishopkeep
821,yanshitailor
822,yanshitailor2
823,yanshiblacksmithsign
824,yanshibowyersign
825,yanshigrocersign
826,yanshihealersign
827,yanshijewelersign
828,yanshipubsign
829,yanshishopkeepsign
830,yanshitailorsign
831,shoushiarchmage
832,shoushibarkeeper
834,shoushibarkeeper3
835,shoushiblacksmith
836,shoushibowyer
837,shoushigrocer
838,shoushihealer
839,shoushijeweler
840,shoushiscribe
841,shoushiscribe2
842,shoushishopkeep
843,shoushitailor
844,shoushiapparelsign
845,shoushiblacksmithsign
846,shoushibowyersign
847,shoushigrocersign
848,shoushiinnsign
849,shoushijewelersign
850,shoushipubsign
851,shoushiscribesign
852,shoushishopkeepsign
853,shoushitailorsign
854,pkswitch
855,npkswitch
856,hebianarchmage
857,hebianarchmage2
858,hebianarmorer
859,hebianbarkeeper
860,hebianbarkeeper2
861,hebianbarkeeper3
862,hebianblacksmith
863,hebianblacksmith2
864,hebianbowyer
865,hebiangrocer
866,hebiangrocer2
867,hebianhealer
868,hebianjeweler
869,hebianscribe
870,hebiantailor
871,hebianweaponsmith
872,hebianarmorsign
873,hebianblacksmithsign
874,hebianhealersign
875,hebianjewelersign
876,hebianpubsign
877,hebianscribesign
878,hebiantailorsign
879,hebiantavernsign
880,hebiantowersign
881,hebianweaponsign
882,armorersign
883,armoredillobronzegen
884,armoredillosandygen
885,armoredillospikeygen
886,armoredillospinygen
887,aurochcowgen
888,aurochyearlinggen
889,banderlingcaptaingen
890,banderlingravergen
891,cowbrowngen
892,drudgeprowlergen
893,drudgeskulkergen
894,lugianlithosgen
895,lugianobelothgen
896,mitematrongen
897,mitesquibgen
898,mosswartchiefgen
899,mosswartmudlurkgen
900,olthoinoblegen
901,olthoinymphgen
902,olthoisoldiergen
903,phyntoswaspbluegen
904,phyntoswaspgreengen
905,ratblackgen
906,ratwhitegen
907,reedsharkpupgen
908,reedsharkveterangen
909,tuskerfemalegen
910,tuskergoldmalegen
911,lichgenerator
912,revenantgenerator
913,glendensign
914,glenden3milessign
915,glenden2milessign
916,glenden1milesign
917,hebiansign
918,hebian3milessign
919,hebian2milessign
920,hebian1milesign
921,holtburgsign
922,holtburg3milessign
923,holtburg2milessign
924,holtburg1milesign
925,mayoisign
926,mayoi3milessign
927,mayoi2milessign
928,mayoi1milesign
929,shoushisign
930,shoushi1milesign
931,shoushi2milessign
932,shoushi3milessign
933,yanshisign
934,yanshi1milesign
935,yanshi2milessign
936,yanshi3milessign
937,banderlingguard
938,banderlingraider
939,banderlingyoung
940,drudgesneaker
941,golemwater
942,golemwood
943,mitescion
944,mitedigger
945,mitesentry
946,mitesquire
947,mosswartbarker
948,mosswartfeeder
949,ratred
950,zombie
951,banderlingguardgen
952,banderlingraidergen
953,banderlingyounggen
954,drudgesneakergen
955,golemwatergen
956,golemwoodgen
957,mitesciongen
958,mitediggergen
959,mitesentrygen
960,mitesquiregen
961,mosswartbarkergen
962,mosswartfeedergen
963,ratbrowngen
964,ratredgen
965,zombiegen
966,dungeonmanorhealer
967,undercityarmorer
968,undercitygrocer
969,undercityhealer
970,undercityscribe
971,undercityshady
972,undercityweaponsmith
973,samsurbarkeeper
975,samsurblacksmith
976,samsurblacksmith2
977,samsurbowyer
978,samsurgrocer
979,samsurhealer
980,samsurjeweler
981,samsurscribe
982,samsurshopkeep
983,samsurtailor
984,zaikhalarchmage
985,zaikhalbarkeeper
986,zaikhalbarkeeper2
987,zaikhalblacksmith
988,zaikhalbowyer
989,zaikhalgrocer
990,zaikhalhealer
991,zaikhaljeweler
992,zaikhalscribe
993,zaikhalshopkeep
994,zaikhaltailor
995,samsur1milesign
996,samsur2milessign
997,samsur3milessign
998,samsurblacksmithsign
999,samsurbowyersign
1000,samsurgrocersign
1001,samsurhalfmilesign
1002,samsurjewelersign
1003,samsurpubsign
1004,zaikhal1milesign
1005,zaikhal2milessign
1006,zaikhal3milessign
1007,zaikhalblacksmithsign
1008,zaikhalgrocersign
1009,zaikhalhalfmilesign
1010,zaikhalhealersign
1011,zaikhaljewelersign
1012,zaikhalpubsign
1013,portalarwic
1014,portalcragstone
1015,portalcragstone2
1016,portaleastham
1017,portalglendenwood
1018,portalhebianto
1019,portalhebianto2
1020,portalholtburg
1022,portalmayoi
1023,portalqalabar
1024,portalqalabar2
1025,portalrithwic
1026,portalsamsur
1027,portalshoushi
1029,portalyanshi
1030,portalyaraq
1032,portalzaikhal
1033,portalzaikhal2
1034,yaraqbarkeeper
1036,itemdaggergenerator
1037,itemswordgenerator
1038,yaraqblacksmith
1039,yaraqbowyer
1040,yaraqgrocer
1041,yaraqhealer
1042,yaraqjeweler
1043,itembowgenerator
1044,yaraqscribe
1045,yaraqshopkeep
1046,itemcomponentgenerator
1047,yaraqtailor
1048,qalabararchmage
1049,qalabararmorer
1050,qalabarbarkeeper
1051,qalabarbarkeeper2
1052,qalabarbowyer
1053,qalabargrocer
1054,qalabarhealer
1055,qalabarjeweler
1056,qalabarscribe
1057,qalabarshopkeep
1058,qalabartailor
1059,qalabarweaponsmith
1060,qalabar1milesign
1061,qalabar2milessign
1062,qalabar3milessign
1063,qalabararmorersign
1064,qalabargrocersign
1065,qalabarhealersign
1066,qalabarjewelersign
1067,qalabarpubsign
1068,yaraq1milesign
1069,yaraq2milessign
1070,yaraq3milessign
1071,yaraqblacksmithsign
1072,yaraqgaronbssign
1073,yaraqgrocersign
1074,yaraqjeweler2sign
1075,yaraqjewelersign
1076,yaraqtavernsign
1077,tutorialbook
1078,accursedhallsblacksmith
1079,ashentearspeddler
1080,eastrithwictailor
1081,eastrithwicjeweler
1082,eastrithwicbarkeeper
1084,eastrithwictailorsign
1085,eastrithwicjewelersign
1086,eastrithwicpubsign
1087,portalaccursedexit
1088,portalarwicmines
1089,portalarwicminesexit
1090,portalashentearsexit
1091,portalblackdeathexit
1092,portaldungeonmanorexit
1093,portalholtburgdungeonexit
1094,portalmitemazeexit
1095,portalshadowsexit
1096,portalshoushigrottoexit
1097,portaltalismanexit
1098,portaltrothyrsrestexit
1099,portalunderground
1100,portalundergroundexit
1101,portalyaraqtunnelsexit
1102,portalbanditcastle
1103,portalbanditcastleexit
1104,portalnorthdirelands
1105,portalriverarwic
1106,portalrivercragstone
1107,portalsouthdirelands
1108,zaikhalsign
1109,samsursign
1110,yaraqsign
1111,qalabarsign
1112,portalisleoftears
1113,portalisleoftearsexit
1114,lockboxcrude
1115,bookshelf
1116,portaltalisman
1117,portalshadows
1118,portalblackdeath
1119,portalaccursed
1120,portalashentears
1121,portalmitemaze
1122,portaltrothyrsrest
1123,portaldungeonmanor
1124,portalshoushigrotto
1125,portalholtburgdungeon
1126,portalyaraqtunnels
1127,portalreedsharklair
1128,portalreedsharklairexit
1129,itemscarabgenerator
1130,itemtalismangenerator
1131,itemherbgenerator
1132,itempowdergenerator
1133,itemalchemicalgenerator
1134,itembookgenerator
1135,glendenbulletinboard
1136,hebianbulletinboard
1137,holtburgbulletinboard
1138,mayoibulletinboard
1139,qalabarbulletinboard
1140,samsurbulletinboard
1141,shoushibulletinboard
1142,yanshibulletinboard
1143,yaraqbulletinboard
1144,zaikhalbulletinboard
1145,mayoitailor
1146,mayoiarmorer
1147,mayoishopkeep
1148,gardoubledoor
1149,allegiance
1151,shoushijeweler2
1152,cragstonejeweler2
1153,cabbagecirclegen
1154,linkmonstergen
1155,armoredillobronzelandgen
1156,armoredillobrownlandgen
1157,armoredillosandylandgen
1158,armoredillospikeylandgen
1159,armoredillospinylandgen
1160,aurochbulllandgen
1161,aurochcowlandgen
1162,aurochyearlinglandgen
1163,banderlingcaptainlandgen
1164,banderlingguardlandgen
1165,banderlingraiderlandgen
1166,banderlingraverlandgen
1167,banderlingscoutlandgen
1168,banderlingyounglandgen
1169,cowbrownlandgen
1170,cowlandgen
1171,drudgeprowlerlandgen
1172,drudgeskulkerlandgen
1173,drudgeslinkerlandgen
1174,drudgesneakerlandgen
1175,mitediggerlandgen
1176,mitematronlandgen
1177,mitescamplandgen
1178,mitescionlandgen
1179,mitesentrylandgen
1180,mitesquiblandgen
1181,mitesquirelandgen
1182,mosswartbarkerlandgen
1183,mosswartchieflandgen
1184,mosswartcreeperlandgen
1185,mosswartfeederlandgen
1186,mosswartmudlurklandgen
1187,olthoinoblelandgen
1188,olthoinymphlandgen
1189,olthoisoldierlandgen
1190,olthoiworkerlandgen
1191,phyntoswaspbluelandgen
1192,phyntoswaspgreenlandgen
1193,phyntoswaspredlandgen
1194,ratblacklandgen
1195,ratbrownlandgen
1196,ratgreylandgen
1197,ratredlandgen
1198,ratwhitelandgen
1199,reedsharkadultlandgen
1200,reedsharkpuplandgen
1201,reedsharkveteranlandgen
1202,tuskerfemalelandgen
1203,tuskergoldmalelandgen
1204,tuskermalelandgen
1205,virindimasterlandgen
1206,zombielandgen
1207,zombielichlandgen
1208,zombierevenantlandgen
1209,zombieundeadlandgen
1210,mercenary
1211,thievesdenshady
1212,warningsign
1213,warningsign2
1214,warningsign3
1215,chestthievesden
1216,warningsign4
1217,undeadcorpse
1218,banditthief
1219,portalthievesden
1220,directionsdungeonmanor
1221,directionsholtburgdungeon
1222,directionsholtburgtravel
1223,directionsrithwictravel
1224,directionssamsurtravel
1225,directionsshoushigrotto
1226,directionsshoushitravel
1227,directionsyanshitravel
1228,directionsyaraqtravel
1229,directionsyaraqtunnels
1230,doorshoslidelockbrilliant
1231,doorshoslidelockexcellent
1232,doorshoslidelockfair
1233,doorshoslidelockgood
1234,doorshoslidelockimpregnable
1235,doorshoslidelockintricate
1236,doorshoslidelockpoor
1237,chestglendencheese
1238,chestglendenpicks
1239,chestglendentreasure
1240,banderlingguardglenden
1241,banderlingyoungglenden
1242,drudgeprowlerglenden
1243,ratblackglenden
1244,doorglenden
1245,doorglendenprison
1246,doorglendenprison2
1247,keyglendenchest
1248,keyglendendoor
1249,keyglendenprison
1250,keyglendenprison2
1251,chestgreenmirearmor
1252,chestgreenmirecrown
1253,chestgreenmiregems
1254,chestgreenmirekey
1255,drudgeprowlergreenmire
1256,mosswartbarkergreenmire
1257,mosswartchiefgreenmire
1258,mosswartfeedergreenmire
1259,mosswartmudlurkgreenmire
1260,doorgreenmireprison
1261,doorgreenmireresist54
1262,doorgreenmireresist58
1263,keygreenmirechest
1264,keygreenmirechest2
1265,keygreenmirechest3
1266,keygreenmireprison
1267,keygreenmireresist54
1268,keygreenmireresist58
1269,banditcastleprisonsign
1270,shieldroundfancy
1271,chestbanditarmor
1272,chestbandittreasure
1273,ratwhitegiant
1274,doorbanditprison3
1275,doorbanditprison2
1276,doorbanditprison
1277,keybanditchestarmor
1278,keybanditprison
1279,keybanditprison2
1280,keybanditprison3
1282,dooraluvianlockedpoor
1283,dooraluvianlockedfair
1284,dooraluvianlockedgood
1285,dooraluvianlockedintricate
1286,dooraluvianlockedexcellent
1287,dooraluvianlockedbrilliant
1288,dooraluvianlockedimpregnable
1289,doordungeonlockedpoor
1290,doordungeonlockedfair
1291,doordungeonlockedgood
1292,doordungeonlockedintricate
1293,doordungeonlockedexcellent
1294,doordungeonlockedbrilliant
1295,doordungeonlockedimpregnable
1296,doorprisonlockedpoor
1297,doorprisonlockedfair
1298,doorprisonlockedgood
1299,doorprisonlockedintricate
1300,doorprisonlockedexcellent
1301,doorprisonlockedbrilliant
1302,doorprisonlockedimpregnable
1303,chestbanditkey1
1304,chestbanditkey2
1305,chestbanditkey3
1306,portalbanditcastleprison
1307,portalglendendungeon
1308,portalglendendungeonexit
1309,portalgreenmiregrave
1310,portalgreenmiregraveexit
1311,portalnorthglenden
1312,portalnorthglendenexit
1313,shieldroundmetal
1314,bookshelfsewer
1315,chestsewershield
1316,chestsewertreasure
1317,chestsewertreasure2
1318,dooreasthamsewer
1319,keysewerchest
1320,keysewerdoor
1321,drudgeskulkersewer
1322,drudgesneakersewer
1323,portaleasthamsewer
1324,portaleasthamsewerexit
1325,portalemptychamber
1326,portalemptychamberexit
1327,portalemptyicecave
1328,portalemptyicecaveexit
1329,portalemptyroom
1330,portalemptyroomexit
1331,portalcave
1332,portalcaveexit
1333,portalmosswartroom
1334,portalmosswartroomexit
1335,portaldrudgefamily
1336,portaldrudgefamilyexit
1337,portaldrudgenest
1338,portaldrudgenestexit
1339,portalmosschamber
1340,portalmosschamberexit
1341,portalsimplemaze
1342,portalsimplemazeexit
1343,portalsimplesuite
1344,portalsimplesuiteexit
1345,portalwhiteratlair
1346,portalwhiteratlairexit
1347,portalwhiteratnest
1348,portalwhiteratnestexit
1349,golemmudgen
1350,golemgranitegen
1351,onewaywarningsign
1352,zalphooskey
1353,zalphoosguidebook
1354,syliphtowerblacksmith
1355,zalphoosshopkeep
1356,alfrethbanderlingcaptain
1357,dooralfreth
1358,sylsfearkey
1359,doorsylsfear
1360,doortricksylsfear
1361,sylsfeartrickkey
1362,sylsfeartuskermale
1363,portalbaseofzabool
1364,portalmountainkeep
1365,portalmountainkeepexit
1366,portalmountainkeepexit2
1367,portaltower1exit
1368,portaltower2exit
1369,archmagealuvian
1370,archmagegaron
1371,archmagesho
1372,armoreraluvian
1373,armorergaron
1374,armorersho
1375,blacksmithaluvian
1376,blacksmithgaron
1377,blacksmithsho
1378,bowyeraluvian
1379,bowyergaron
1380,bowyersho
1381,farmeraluvian
1382,farmergaron
1383,farmersho
1384,healeraluvian
1385,healergaron
1386,healersho
1387,merchantaluvian
1388,merchantgaron
1389,merchantsho
1390,peddleraluvian
1391,peddlergaron
1392,peddlersho
1393,weaponsmithaluvian
1394,weaponsmithgaron
1395,weaponsmithsho
1396,portalmayoishrine
1397,portalmayoishrineexit
1398,portalyanshitunnel
1399,portalyanshitunnelexit
1400,itemfishgenerator
1401,directionsyanshitunnel
1402,directionsrithwiccrypt
1403,cluelostlightgen
1404,lostlightguardian
1405,lostlightholtburgrat
1406,lostlightrithwicrat
1407,lostlightsamsurdrudge
1408,lostlightshoushidrudge
1409,lostlightyanshidrudge
